Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R4","75K","R_0402_1005Metric",161.690000,-70.870000,180.000000,top
"R5","10K","R_0402_1005Metric",164.210000,-70.850000,0.000000,top
"R14","5.1K","R_0402_1005Metric",138.990000,-86.130000,0.000000,top
"R17","5.1K","R_0402_1005Metric",143.960000,-86.305000,-90.000000,top
"R29","330R","R_0402_1005Metric",138.270000,-81.540000,180.000000,top
"R54","2,2K","R_0402_1005Metric",121.560000,-69.980000,180.000000,top
"R55","2,2K","R_0402_1005Metric",121.050000,-71.490000,90.000000,top
"R61","10K","R_0402_1005Metric",165.390000,-79.180000,90.000000,top
"R62","1K","R_0402_1005Metric",165.390000,-81.570000,90.000000,top
"TP1","TestPoint","TestPoint_THTPad_D3.0mm_Drill1.5mm",169.180000,-70.510000,0.000000,top
"TP2","TestPoint","TestPoint_THTPad_D3.0mm_Drill1.5mm",169.120000,-84.290000,0.000000,top
"TP5","TestPoint","TestPoint_Pad_1.0x1.0mm",129.330000,-70.170000,-90.000000,top
"TP6","TestPoint","TestPoint_Pad_1.0x1.0mm",135.330000,-70.170000,-90.000000,top
"U1","STM32F407RGTx","LQFP-64_10x10mm_P0.5mm",130.595000,-81.330000,0.000000,top
"U2","DPS310XTSA1","XDCR_DPS310XTSA1",122.795000,-72.325000,180.000000,top
"U3","RASPBERRY_PI_ZERO_2_W","RpiZero2W_Redukce_Final",138.820000,-73.230000,0.000000,top
"U4","TPS54302","SOT-23-6",162.457500,-73.600000,90.000000,top
"U5","USBLC6-2SC6","SOT-23-6",141.710000,-85.515000,-90.000000,top
"U8","BMI270","XDCR_BMI270",140.820000,-77.230000,90.000000,top
"U9","MIC5353-3.3YMT","MLF-6-1EP_1.6x1.6mm_P0.5mm_EP0.5x1.26mm",144.780000,-73.460000,180.000000,top
"U10","XC6220B331MR","SOT-23-5",143.212500,-70.710000,180.000000,top
"Y2","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",119.910000,-79.780000,90.000000,top
